date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:34:43	50125/50125	---M-Z	200	added ('OK')	text/html	etag:%22c3cd-5be83dac6ad00-gzip%22	https://triper.dexignlab.com/xhtml/index.html	C:/duan1_khachsan/triper.dexignlab.com/xhtml/index.html	(from )
23:34:44	318/318	---M--	403	error ('Forbidden')	text/html	date:Tue,%2014%20Nov%202023%2016:34:44%20GMT	https://triper.dexignlab.com/robots.txt		(from )
23:34:44	4099/4099	---M--	200	added ('OK')	image/x-icon	etag:%221003-576a251a37680%22	https://triper.dexignlab.com/xhtml/images/favicon.ico	C:/duan1_khachsan/triper.dexignlab.com/xhtml/images/favicon.ico	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:45	959/959	---M--	200	added ('OK')	image/png	etag:%223bf-59011facaed00%22	https://triper.dexignlab.com/xhtml/images/favicon.png	C:/duan1_khachsan/triper.dexignlab.com/xhtml/images/favicon.png	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:46	272673/272673	---M--	200	added ('OK')	text/css	etag:%2242921-5a588d6f3f200%22	https://triper.dexignlab.com/xhtml/css/plugins.min.css	C:/duan1_khachsan/triper.dexignlab.com/xhtml/css/plugins.min.css	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:46	31004/31004	---M--	200	added ('OK')	text/css	etag:%22791c-54441da71b000%22	https://triper.dexignlab.com/xhtml/plugins/fontawesome/css/font-awesome.min.css	C:/duan1_khachsan/triper.dexignlab.com/xhtml/plugins/fontawesome/css/font-awesome.min.css	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:46	28101/28101	---M--	200	added ('OK')	text/css	etag:%226dc5-546ed69d03700%22	https://triper.dexignlab.com/xhtml/plugins/line-awesome/css/line-awesome.min.css	C:/duan1_khachsan/triper.dexignlab.com/xhtml/plugins/line-awesome/css/line-awesome.min.css	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:47	16435/16435	---M--	200	added ('OK')	text/css	etag:%224033-4fa17f49d8b80%22	https://triper.dexignlab.com/xhtml/plugins/themify/themify-icons.css	C:/duan1_khachsan/triper.dexignlab.com/xhtml/plugins/themify/themify-icons.css	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:47	12958/12958	---M--	200	added ('OK')	text/css	etag:%22329e-5882fa8c6e200%22	https://triper.dexignlab.com/xhtml/plugins/simple-icon/css/simple-line-icons.css	C:/duan1_khachsan/triper.dexignlab.com/xhtml/plugins/simple-icon/css/simple-line-icons.css	(from https://triper.dexignlab.com/xhtml/index.html)
23:34:48	64007/64007	---M--	200	added ('OK')	text/css	etag:%22fa07-5be845a177300%22	https://triper.dexignlab.com/xhtml/css/templete.min.css	C:/duan1_khachsan/triper.dexignlab.com/xhtml/css/templete.min.css	(from https://triper.dexignlab.com/xhtml/index.html)
